x1,x2,x3,o1,o2
28,96,11,1061,135
64,27,62,4115,153
30,13,48,891,91
49,5,100,2316,154
51,6,34,2585,91
8,22,56,74,86
97,42,86,9449,225
72,23,6,5247,101
59,66,78,3601,203
4,15,63,-2,82
24,47,98,619,169
17,89,43,513,149
59,70,73,3618,202
5,87,77,209,169
90,14,73,8069,177
95,67,62,9164,224
27,78,70,893,175
16,64,51,397,131
96,89,40,9443,225
69,50,3,4908,122
34,37,12,1255,83
48,56,54,2418,158
74,51,68,5561,193
27,76,45,912,148
26,12,50,662,88
38,24,96,1420,158
46,61,9,2290,116
77,51,72,6010,200
93,13,55,8633,161
37,6,93,1294,136
44,80,65,2111,189
97,85,81,9583,263
7,56,95,122,158
50,71,28,2685,149
67,20,87,4462,174
91,66,21,8458,178
96,50,76,9290,222
67,60,36,4633,163
90,42,66,8160,198
4,87,94,183,185
100,34,69,10033,203
19,89,64,564,172
31,59,42,1096,132
88,41,77,7790,206
49,41,90,2434,180
39,70,7,1724,116
43,99,11,2135,153
78,64,72,6204,214
41,77,52,1860,170
26,50,34,792,110
49,24,54,2419,127
56,99,50,3383,205
37,50,34,1485,121
19,1,13,351,33
39,72,15,1722,126
47,69,11,2405,127
88,34,6,7840,128
4,89,80,203,173
51,55,51,2715,157
39,5,73,1463,117
24,40,77,619,141
35,69,6,1426,110
95,69,83,9149,247
76,3,98,5687,177
79,63,14,6416,156
5,82,87,184,174
44,51,35,2054,130
34,70,87,1279,191
47,79,87,2359,213
98,13,49,9594,160
51,8,76,2549,135
37,50,53,1466,140
44,70,6,2140,120
74,50,21,5605,145
45,16,42,2031,103
45,99,55,2267,199
97,90,78,9601,265
40,1,93,1510,134
52,48,17,2831,117
11,93,21,379,125
41,40,20,1781,101
61,73,82,3858,216
81,61,16,6728,158
10,44,48,184,102
43,20,14,1895,77
11,87,83,299,181
97,79,8,9638,184
22,64,31,645,117
82,35,48,6781,165
21,44,44,529,109
47,1,17,2195,65
58,40,46,3438,144
33,38,35,1168,106
9,29,40,128,78
96,18,58,9212,172
37,50,39,1480,126
8,26,8,134,42
40,85,71,1784,196
41,13,34,1686,88
99,53,43,9917,195
